hist_B_0,hist_B_1,hist_B_2,hist_B_3,hist_B_4,hist_B_5,hist_B_6,hist_B_7,hist_G_0,hist_G_1,hist_G_2,hist_G_3,hist_G_4,hist_G_5,hist_G_6,hist_G_7,hist_R_0,hist_R_1,hist_R_2,hist_R_3,hist_R_4,hist_R_5,hist_R_6,hist_R_7,label
0.0133887725,0.57135344,0.7780364,0.2608331,0.0011901131,9.917609e-05,0.0,0.0,0.027382778,0.67248595,0.73007745,0.101637855,0.060417514,0.004385142,0.00019489521,0.0,0.032073736,0.8224306,0.56760794,0.01935027,0.0049480144,0.0012370036,0.0,0.0,diseased
0.041499514,0.61627245,0.78357023,0.06591646,0.01253341,0.0012997611,0.0,0.0,0.053422634,0.7400297,0.64328,0.022609973,0.17362356,0.06719895,0.0228203,0.0,0.055269483,0.8834203,0.4349253,0.15441778,0.049524628,0.026842348,0.018324113,9.9049255e-05,diseased
0.035611916,0.60321254,0.78508085,0.13606799,9.5219024e-05,0.0,0.0,0.0,0.048845798,0.6499084,0.6882718,0.3111218,0.06862186,0.0029177798,0.00086452736,0.0,0.046562158,0.7423726,0.668054,0.020161867,0.0034356543,0.00072329567,0.0,0.0,diseased
0.051006485,0.7464517,0.6634429,0.0071713864,0.0006274963,0.0,0.0,0.0,0.04591303,0.80453455,0.5779471,0.12794174,0.014792063,0.0023052567,0.00028815708,0.0,0.04631206,0.91644275,0.39737925,0.008374694,0.0025124082,0.0010887103,0.0,0.0,diseased
0.03294382,0.5961528,0.7967006,0.09362,0.0043738964,0.0009306163,0.0,0.0,0.052526,0.6977185,0.63253295,0.31015882,0.11871098,0.006218723,0.0015546808,0.0,0.05391159,0.78423005,0.60510445,0.12569709,0.010820964,0.0028984726,0.00028984726,0.0,diseased
0.08716121,0.5934439,0.8000415,0.012673022,0.0004558641,0.0,0.0,0.0,0.12783478,0.7863301,0.576092,0.17890602,0.037911784,0.004073167,0.0,0.0,0.1162516,0.8574805,0.50109076,0.010270861,0.0039083804,0.00018178514,0.0,0.0,diseased
0.071640044,0.6964903,0.71394575,0.007091273,0.00036365504,0.0,0.0,0.0,0.11109078,0.8491751,0.4720592,0.20685165,0.030148832,0.0049055726,0.00020439886,0.0,0.101194404,0.8920429,0.43996403,0.020666461,0.0048102974,0.00080171623,0.0,0.0,diseased
0.030383129,0.69043654,0.72260165,0.014790613,0.0015147014,8.910008e-05,0.0,0.0,0.0507117,0.8428437,0.5265628,0.018206643,0.09322564,0.027262304,0.002955005,0.0,0.05368405,0.93977636,0.32655612,0.083363034,0.016672606,0.008292657,0.0018331138,0.0,diseased
0.043989174,0.66133195,0.7446405,0.078825615,0.0014009292,0.0,0.0,0.0,0.057768922,0.7492516,0.62591547,0.019598337,0.20696256,0.016417455,0.005233064,0.0,0.064912245,0.858789,0.5018644,0.079285674,0.00936591,0.005100248,0.0,0.0,diseased
0.020081203,0.60862184,0.79204214,0.04267256,0.0049306527,0.00044824116,0.0,0.0,0.03748421,0.807425,0.5833717,0.0017038276,0.046665948,0.06360957,0.010506937,9.4657094e-05,0.0406195,0.92709595,0.36654684,0.048831705,0.043356903,0.012980579,0.0073291706,0.0,diseased
